Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1685.292934
FDW14,OUT017,1480.066742
NCN55,OUT010,727.7194
FDQ58,OUT017,2521.397916
FDY38,OUT027,6353.642846
FDH56,OUT046,2142.47782
FDL48,OUT018,685.101542
FDC48,OUT027,1882.076782
FDN33,OUT045,1146.527574
FDA36,OUT017,2856.668164
FDT44,OUT017,1423.487058
FDQ56,OUT045,1508.110238
NCC54,OUT019,724.816512
FDU11,OUT049,1874.619822
DRL59,OUT013,944.190954
FDM24,OUT049,2768.775906
FDI57,OUT045,3774.659888
DRC12,OUT018,3291.056058
NCM42,OUT027,3164.71385
FDA46,OUT010,446.71851
FDA31,OUT013,2731.27805
NCJ31,OUT035,2935.838442
FDG52,OUT046,734.497244
NCL19,OUT019,394.646292
FDS10,OUT035,2938.901122
FDX22,OUT010,403.4748
NCF19,OUT035,673.250302
NCE06,OUT046,2115.053518
DRC27,OUT046,4307.55955
FDE21,OUT035,1899.507426
NCR42,OUT019,70.002212
FDX51,OUT018,2719.806316
NCR06,OUT018,363.813094
FDU31,OUT027,5532.038988
FDU59,OUT017,2417.606354
FDR03,OUT027,5676.497614
FDS49,OUT027,2441.575154
FDD48,OUT010,256.053364
NCF18,OUT017,3434.009976
NCD43,OUT027,2157.42503
NCD54,OUT018,2046.53604
FDY19,OUT010,244.74808
NCY54,OUT017,2609.616416
NCL19,OUT018,2091.723886
FDP23,OUT010,369.978402
FDC26,OUT013,1765.974578
FDR14,OUT010,142.221538
NCS41,OUT035,2933.31506
FDF41,OUT035,4197.189884
FDU34,OUT046,2310.618952
DRH11,OUT046,803.660548
FDM03,OUT013,2032.08818
FDS31,OUT017,3228.191222
FDJ20,OUT017,1819.53153
FDV44,OUT027,4793.220702
FDG02,OUT049,2887.30828
FDA09,OUT013,4044.854844
FDT04,OUT013,440.772916
FDL58,OUT019,596.410324
FDE52,OUT045,1348.571242
FDW12,OUT035,2951.917512
FDL51,OUT017,3336.550172
NCY42,OUT027,2864.87082
FDR07,OUT017,1479.114648
FDN40,OUT045,2606.899952
FDB35,OUT027,2408.251864
FDA22,OUT017,2458.313366
NCL06,OUT046,4261.539454
FDI35,OUT013,3452.918696
NCW42,OUT045,3917.893442
NCX06,OUT049,3466.727388
FDC37,OUT027,2435.13021
FDZ14,OUT018,2019.33811
DRG49,OUT049,5272.030772
NCG06,OUT045,3309.59193
DRC36,OUT045,2935.891706
FDV21,OUT019,488.956862
FDB53,OUT046,3314.179292
DRP47,OUT019,572.275074
FDA14,OUT013,2194.74312
DRC24,OUT035,3188.556148
FDW21,OUT018,1457.882286
NCH29,OUT046,1709.081968
FDU58,OUT013,3436.320302
FDY27,OUT017,2793.104238
FDV56,OUT035,1430.065162
FDT59,OUT046,3840.640668
FDB23,OUT046,3694.89039
FDR49,OUT045,743.638678
FDB03,OUT010,538.76536
FDN39,OUT045,3214.209422
FDX02,OUT027,6129.45467
FDQ16,OUT027,2765.040768
FDU35,OUT018,1610.43704
NCT29,OUT013,1875.551942
FDZ27,OUT046,883.390098
FDN57,OUT017,1916.778278
FDA03,OUT018,2223.692104
FDZ36,OUT045,3761.383836
NCU05,OUT013,1294.501624
FDT39,OUT018,2468.433526
FDK60,OUT017,1654.97906
FDZ25,OUT017,2982.431126
FDG12,OUT046,2501.363994
DRB01,OUT019,680.94695
NCC43,OUT027,6279.639176
FDX13,OUT019,527.719738
FDM22,OUT049,879.275454
FDJ03,OUT027,1566.167998
FDU14,OUT018,3754.239802
FDB33,OUT010,412.59626
FDP27,OUT046,3294.764564
FDO38,OUT010,179.592892
FDE28,OUT027,6627.885866
FDO27,OUT035,1367.78623
DRL23,OUT027,2379.682386
FDS28,OUT046,826.963548
FDX24,OUT013,1255.092922
FDZ02,OUT035,1244.773022
FDL46,OUT045,1643.99336
FDS60,OUT027,3900.462798
NCO06,OUT017,472.132096
FDO16,OUT035,1481.211918
FDC60,OUT049,1643.300928
FDA48,OUT018,4134.072044
FDZ36,OUT027,4493.564096
FDK27,OUT045,1815.396912
FDW23,OUT018,499.91593
FDM14,OUT018,1197.434642
FDM14,OUT013,1769.736348
FDW60,OUT018,2817.9985
FDE21,OUT013,1872.089782
NCM42,OUT035,1802.839924
FDY59,OUT010,193.468164
DRI49,OUT049,1251.863792
FDT28,OUT019,248.716248
FDQ22,OUT018,435.912576
FDR60,OUT049,1012.28232
FDC50,OUT019,312.539836
FDV24,OUT013,2190.162416
DRF48,OUT010,532.087386
FDQ47,OUT046,625.658918
DRN36,OUT049,1533.650326
NCY06,OUT035,2077.808666
FDE52,OUT035,1443.02163
NCB54,OUT045,1583.53872
NCF31,OUT035,2320.699164
FDJ08,OUT027,4233.775594
NCC07,OUT017,1483.548876
NCD19,OUT027,1537.06588
FDL46,OUT049,1998.771548
FDM20,OUT045,3902.300406
NCI06,OUT010,397.023198
DRM11,OUT035,4254.968008
NCH07,OUT018,2327.13745
FDS23,OUT013,2322.490166
FDO49,OUT018,675.061278
FDS35,OUT049,978.446364
DRK39,OUT045,1604.384918
DRI39,OUT049,826.011454
FDV04,OUT017,1974.303398
NCN14,OUT035,2475.34453
FDH08,OUT013,3693.072756
FDS20,OUT046,2997.93095
FDV40,OUT049,939.829964
FDZ48,OUT010,221.7114
FDS24,OUT027,2196.653966
FDK44,OUT049,1978.165038
FDS48,OUT045,2545.147002
FDK26,OUT010,675.693788
FDD23,OUT045,3367.436634
NCH54,OUT017,2826.52074
NCP14,OUT010,246.559056
FDM60,OUT010,70.967622
FDV24,OUT017,2294.553198
FDH08,OUT018,3169.654086
FDS12,OUT027,3430.13502
FDR39,OUT027,4897.085502
FDP12,OUT027,1017.37569
DRF60,OUT027,5577.859344
FDC09,OUT035,1485.226692
FDF50,OUT018,3119.679138
FDG28,OUT035,3549.419748
