Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1639.219574
FDW14,OUT017,1465.019662
NCN55,OUT010,634.993434
FDQ58,OUT017,2226.242118
FDY38,OUT027,6433.951642
FDH56,OUT046,2143.123646
FDL48,OUT018,681.432984
FDC48,OUT027,1978.344804
FDN33,OUT045,1137.426088
FDA36,OUT017,2628.997854
FDT44,OUT017,1393.179842
FDQ56,OUT045,1475.619198
NCC54,OUT019,737.859534
FDU11,OUT049,1828.08706
DRL59,OUT013,922.479216
FDM24,OUT049,2708.880538
FDI57,OUT045,3911.495104
DRC12,OUT018,3444.28327
NCM42,OUT027,3259.091
FDA46,OUT010,506.20774
FDA31,OUT013,2566.199598
NCJ31,OUT035,3242.852138
FDG52,OUT046,740.955504
NCL19,OUT019,368.35385
FDS10,OUT035,3062.739922
FDX22,OUT010,430.37312
NCF19,OUT035,764.531482
NCE06,OUT046,2181.347224
DRC27,OUT046,4318.438722
FDE21,OUT035,1871.270848
NCR42,OUT019,72.97168
FDX51,OUT018,2384.109956
NCR06,OUT018,321.135314
FDU31,OUT027,5294.268492
FDU59,OUT017,2410.176026
FDR03,OUT027,5353.817644
FDS49,OUT027,2549.008642
FDD48,OUT010,266.872614
NCF18,OUT017,3242.559186
NCD43,OUT027,2148.93608
NCD54,OUT018,2036.296036
FDY19,OUT010,241.738664
NCY54,OUT017,2629.623706
NCL19,OUT018,2209.364088
FDP23,OUT010,426.21187
FDC26,OUT013,1609.431682
FDR14,OUT010,140.104294
NCS41,OUT035,3002.4251
FDF41,OUT035,4600.31181
FDU34,OUT046,2206.634308
DRH11,OUT046,872.118104
FDM03,OUT013,2146.399382
FDS31,OUT017,3293.206592
FDJ20,OUT017,1641.170368
FDV44,OUT027,4504.56977
FDG02,OUT049,2917.375808
FDA09,OUT013,4193.068582
FDT04,OUT013,416.131658
FDL58,OUT019,629.467294
FDE52,OUT045,1385.483194
FDW12,OUT035,2881.21621
FDL51,OUT017,3409.009186
NCY42,OUT027,2667.321302
FDR07,OUT017,1554.117018
FDN40,OUT045,2567.051822
FDB35,OUT027,2468.373604
FDA22,OUT017,2527.123796
NCL06,OUT046,3976.051072
FDI35,OUT013,3423.097514
NCW42,OUT045,3638.257442
NCX06,OUT049,3304.052474
FDC37,OUT027,2436.208806
FDZ14,OUT018,2082.416002
DRG49,OUT049,5185.170504
NCG06,OUT045,3223.031272
DRC36,OUT045,3089.531714
FDV21,OUT019,450.373752
FDB53,OUT046,2948.541906
DRP47,OUT019,624.134236
FDA14,OUT013,2014.590956
DRC24,OUT035,3238.524438
FDW21,OUT018,1446.796716
NCH29,OUT046,1907.730056
FDU58,OUT013,3612.451034
FDY27,OUT017,2399.483278
FDV56,OUT035,1317.31859
FDT59,OUT046,4097.519624
FDB23,OUT046,3886.887136
FDR49,OUT045,775.55713
FDB03,OUT010,571.243084
FDN39,OUT045,2977.311124
FDX02,OUT027,6111.271672
FDQ16,OUT027,2743.082684
FDU35,OUT018,1520.147902
NCT29,OUT013,2045.051306
FDZ27,OUT046,783.187198
FDN57,OUT017,1922.63066
FDA03,OUT018,1985.48218
FDZ36,OUT045,3441.513542
NCU05,OUT013,1299.282068
FDT39,OUT018,2492.129348
FDK60,OUT017,1697.277334
FDZ25,OUT017,3002.864528
FDG12,OUT046,2506.43739
DRB01,OUT019,730.955188
NCC43,OUT027,6379.023142
FDX13,OUT019,626.997176
FDM22,OUT049,931.65394
FDJ03,OUT027,1579.324206
FDU14,OUT018,3626.64589
FDB33,OUT010,406.897012
FDP27,OUT046,3471.454568
FDO38,OUT010,189.4201
FDE28,OUT027,6666.149392
FDO27,OUT035,1163.831716
DRL23,OUT027,2372.771382
FDS28,OUT046,831.158088
FDX24,OUT013,1498.895566
FDZ02,OUT035,1434.03333
FDL46,OUT045,1630.457646
FDS60,OUT027,4331.834618
NCO06,OUT017,488.490802
FDO16,OUT035,1599.464656
FDC60,OUT049,1831.908752
FDA48,OUT018,4355.836708
FDZ36,OUT027,4360.144434
FDK27,OUT045,1766.7003
FDW23,OUT018,483.244298
FDM14,OUT018,1297.47775
FDM14,OUT013,1638.873358
FDW60,OUT018,2720.778384
FDE21,OUT013,1848.700228
NCM42,OUT035,1717.717394
FDY59,OUT010,169.372862
DRI49,OUT049,1389.764288
FDT28,OUT019,226.265472
FDQ22,OUT018,375.291486
FDR60,OUT049,1015.44487
FDC50,OUT019,348.093556
FDV24,OUT013,2187.705614
DRF48,OUT010,545.330148
FDQ47,OUT046,603.554358
DRN36,OUT049,1657.47581
NCY06,OUT035,2133.849052
FDE52,OUT035,1434.286334
NCB54,OUT045,1537.73168
NCF31,OUT035,2051.29651
FDJ08,OUT027,4871.55873
NCC07,OUT017,1495.040584
